"Tema","Entidad","Indicador","link.de.consulta","2016","2018","2020","2021","2022","2023","2024","2025"
"Gobierno","Quintana Roo","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,40.7610390670605,NA,45.3451703807112,NA,41.2208249954988
"Gobierno","San Luis Potosí","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,44.9675844647208,NA,52.2968363196091,NA,49.8310771164295
"Gobierno","Sinaloa","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,53.5166281871861,NA,55.7861277636161,NA,52.0434562481569
"Gobierno","Sonora","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,50.7217127802314,NA,53.7225449872945,NA,50.5792939925617
"Gobierno","Tabasco","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,35.5995889764152,NA,39.5510085819219,NA,41.4442965337899
"Gobierno","Tamaulipas","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,45.3747119664827,NA,48.4824229059271,NA,43.1749376195836
"Gobierno","Tlaxcala","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,48.3794976424631,NA,51.2649100581603,NA,45.8372540272243
"Gobierno","Veracruz de Ignacio de la Llave","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,47.887439274794,NA,45.7304570251709,NA,41.1680168782918
"Gobierno","Yucatán","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,56.7350279941458,NA,53.8449782492459,NA,52.6411459196517
"Gobierno","Zacatecas","Nivel de satisfacción general con los servicios públicos básicos y bajo demanda","https://www.inegi.org.mx/programas/encig/2025/#tabulados",NA,NA,NA,44.5871052875902,NA,48.0026413743823,NA,44.8229421967545
"Social","Aguascalientes","Porcentaje de la Población en situación de Pobreza","https://inegi.org.mx/desarrollosocial/pm/#tabulados",28.9464796002,26.2654077008,27.6266928676,NA,23.7223197931,NA,17.0684818735,NA
"Social","Aguascalientes","Porcentaje de la Población en situación de Pobreza Moderada","https://inegi.org.mx/desarrollosocial/pm/#tabulados",26.7299160933,25.277145723,25.2097988593,NA,21.9636856712,NA,16.4893467741,NA
"Social","Aguascalientes","Porcentaje de la Poblaciónn en situación de Pobreza Extrema","https://inegi.org.mx/desarrollosocial/pm/#tabulados",2.2165635069,0.9882619779,2.4168940083,NA,1.7586341219,NA,0.5791350994,NA
"Social","Aguascalientes","Porcentaje de la población vulnerable por ingresos","https://inegi.org.mx/desarrollosocial/pm/#tabulados",11.5373785137,11.9815755416,11.0753171459,NA,9.2544119173,NA,7.7598223104,NA
"Social","Aguascalientes","Porcentaje de la Población con Rezago Educativo","https://inegi.org.mx/desarrollosocial/pm/#tabulados",15.7625414126,15.5659450323,15.668279834,NA,16.4997553615,NA,15.0315193292,NA
"Social","Aguascalientes","Porcentaje de la Población con Carencia por acceso a la seguridad social","https://inegi.org.mx/desarrollosocial/pm/#tabulados",12.1412334397,11.403700323,20.2022904886,NA,26.1939774447,NA,25.2041038608,NA
"Social","Aguascalientes","Porcentaje de la Población con Carencia por acceso a los servicios de salud","https://inegi.org.mx/desarrollosocial/pm/#tabulados",37.3982474849,35.7968913094,35.9821332135,NA,34.7069257633,NA,32.7986117329,NA
"Social","Aguascalientes","Porcentaje de la Población con Carencia por calidad y espacios de la vivienda","https://inegi.org.mx/desarrollosocial/pm/#tabulados",5.455490746,4.5769260445,3.9513192782,NA,4.7310930826,NA,2.9486643208,NA
"Social","Aguascalientes","Porcentaje de la Población con Carencia por acceso a los servicios básicos en la vivienda","https://inegi.org.mx/desarrollosocial/pm/#tabulados",2.2828995055,2.4928193236,2.0599066941,NA,2.4657944147,NA,1.9516324968,NA
"Social","Aguascalientes","Porcentaje de la Población con Carencia por acceso a la alimentación nutritiva y de calidad","https://inegi.org.mx/desarrollosocial/pm/#tabulados",17.8501519884,13.8112832338,18.1531150157,NA,15.6294353366,NA,8.7088100434,NA
