"Tema","Indicador","Temporalidad","En_razon","Sentido","Descripción","Fuente","Unidad_medida"
"Género","Mujeres Preparadas #Con Lupa de Género (Porcentaje)","Anual","No","Más es mejor","Mujeres de 18 años y más con al menos educación media superior","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Porcentaje"
"Género","Mujeres que quieren trabajar y no pueden #Con Lupa de Género (Porcentaje)","Anual","No","Menos es mejor","Trabajadoras potenciales desocupadas, subocupadas o disponibles pero no activas en la economía","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Porcentaje"
"Género","Oferta de cuidados de adultos mayores #Con Lupa de Género","Anual","No","Más es mejor","Unidades de cuidados para adultos mayores por cada 100 mil habitantes de 65 años y más","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Tasa"
"Género","Percepción de inseguridad en transporte público #Con Lupa de Género (Porcentaje)","Anual","No","Menos es mejor","Mujeres que dejaron de usar transporte público por temor a ser víctima de algún delito","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Porcentaje"
"Género","Permisos de paternidad #Con Lupa de Género","Anual","Si_1000","Más es mejor","Permiso de paternidad remunerado para los trabajadores del gobierno del Estado","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Permiso"
"Género","Pobreza laboral #Con Lupa de Género (Porcentaje)","Anual","No","Menos es mejor","Mujeres con ingreso laboral inferior al costo de la canasta alimentaria","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Porcentaje"
"Género","Propiedad de la vivienda","Anual","No","Más es mejor","Mujeres con propiedad o copropiedad legal de vivienda","Instituto Mexicano para la Competitividad A.C. IMCO. Estados #ConLupaDeGénero","Porcentaje"
"Medio ambiente","Areas naturales protegidas superficie terrestre","Anual","No","Más es mejor","Superficie terrestre considerada como área natural protegidas superficie terrestre","Secretaría de Medio Ambiente y Recursos Naturales. Dirección General de Estadística e Información Ambiental. CONANP.","Hectáreas"
"Medio ambiente","Capacidad instalada en las PTARs (Litros por segundo)","Anual","No","Más es mejor","Capacidad Instalada de las Plantas tratadoras de aguas residuales","INEGI. México en Cifras. Tabulados de Integración. Medio Ambiente","Litros por segundo"
"Medio ambiente","Plantas Tratadoras de Aguas residuales","Anual","No","Más es mejor","Número de plantas tratadoras de aguas residuales","INEGI. México en Cifras. Tabulados de Integración. Medio Ambiente","Número de plantas"
"Medio ambiente","Volumen tratado en las PTARs (Millones m3)","Anual","No","Más es mejor","Volumen de agua residual tratada en la Planta","INEGI. México en Cifras. Tabulados de Integración. Medio Ambiente","Millones de metros cúbicos"
"Seguridad Pública","Cifra negra","Anual","No","Menos es mejor","Se refiere a la cantidad de delitos que no se registran en las estadísticas oficiales, porque no son denunciados por la víctima, no se inicia una carpeta de investigación, o no son descubiertos por las autoridades","INEGI. Encuesta Nacional de Victimización y Percepción sobre Seguridad Pública (ENVIPE)","Porcentaje"
"Seguridad Pública","Delitos denunciados (porcentaje)","Anual","No","Más es mejor","Porcentaje de delitos que son denunciados ante el Ministerio público e inicia una carpeta de investigación","INEGI. Encuesta Nacional de Victimización y Percepción sobre Seguridad Pública (ENVIPE)","Porcentaje"
