"Tema","Entidad","Indicador","link.de.consulta","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Económico","Colima","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,13036,13263,13878,NA
"Económico","Chiapas","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,125165,129484,105035,NA
"Económico","Chihuahua","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,9984,7663,5252,NA
"Económico","Durango","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,22524,10425,6962,NA
"Económico","Guanajuato","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,11,111,962,NA
"Económico","Guerrero","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,55714,5505,47047,NA
"Económico","Hidalgo","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,44781,44092,33098,NA
"Económico","Jalisco","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,180446,166322,129026,NA
"Económico","México","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,17222,1684,15138,NA
"Económico","Michoacán de Ocampo","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,78492,75134,55537,NA
"Económico","Nayarit","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,9916,9387,9094,NA
"Económico","Nuevo León","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,2548,2623,2559,NA
"Económico","Oaxaca","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,132978,13187,107258,NA
"Económico","Puebla","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,60347,57453,40699,NA
"Económico","Querétaro","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1805,1343,875,NA
"Económico","Quintana Roo","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,10819,86016,68637,NA
"Económico","San Luis Potosí","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,38561,32199,24244,NA
"Económico","Sinaloa","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1111,861,488,NA
"Económico","Tabasco","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,12409,1238,935,NA
"Económico","Tamaulipas","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,26655,26354,20031,NA
"Económico","Tlaxcala","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,14193,13936,10818,NA
"Económico","Veracruz de Ignacio de la Llave","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,183923,183669,146559,NA
"Económico","Yucatán","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,152933,160119,162224,NA
"Económico","Zacatecas","Cera. Volumen de la Producción (toneladas)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,87555,31012,19739,NA
"Económico","Aguascalientes","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",124404466349565,931817145999899,931817145999899,NA,NA,NA,NA,NA,NA
